# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 768

 -> 33 (5000) [1]
12,33,42,83 -> 21 (10000) [10]
33,11,38 -> 22 (10000) [10]
23,33,32,44 -> 13 (0) [10]
22,33,38,24 -> 12 (10000) [10]
11,33,22,23 -> 41 (10000) [10]
33,12,72,53 -> 32 (10000) [10]
22,33,24 -> 52 (10000) [10]
22,33,24,72 -> 42 (10000) [10]
22,33,24,23 -> 42 (10000) [10]
22,33,24,34 -> 42 (10000) [10]
22,33,24,43 -> 42 (10000) [10]
22,33,24,13 -> 42 (10000) [10]
22,33,24,53 -> 42 (10000) [10]
22,33,24,83 -> 42 (10000) [10]
22,33,24,62 -> 42 (10000) [10]
11,33,22,27 -> 14 (10000) [10]
33,11,38,26 -> 21 (10000) [10]
33,11,38,13 -> 12 (10000) [10]
13,33,22,38 -> 11 (-1) [10]
11,33,22,34 -> 14 (10000) [10]
33,11,38,27 -> 12 (10000) [10]
33,12,72,81 -> 43 (10000) [10]
23,33,32,48 -> 25 (10000) [10]
12,33,42,71 -> 32 (10000) [10]
33,11,38,31 -> 21 (10000) [10]
12,33,42,81 -> 11 (10000) [10]
33,11,38,32 -> 12 (10000) [10]
33,12,72,32 -> 43 (10000) [10]
11,33,22,24 -> 14 (10000) [10]
33,23,19 -> 22 (11) [10]
11,33,22,37 -> 15 (-3) [10]
13,33,22,26 -> 34 (1) [10]
22,33,23 -> 53 (0) [10]
22,33,23,73 -> 52 (10000) [10]
22,33,23,83 -> 25 (10000) [10]
11,33,22,26 -> 14 (10000) [10]
23,33,32,24 -> 15 (0) [10]
22,33,23,31 -> 21 (0) [10]
22,33,23,24 -> 52 (10000) [10]
13,33,42 -> 24 (-1) [10]
22,33,23,34 -> 25 (10000) [10]
33,13,32 -> 24 (14) [10]
13,33,42,28 -> 14 (10000) [10]
33,12,72,42 -> 55 (10000) [10]
33,23,19,43 -> 41 (10000) [10]
33,12,34,24 -> 55 (10000) [10]
13,33,42,43 -> 14 (10000) [10]
33,13,32,38 -> 11 (10000) [10]
22,33,23,44 -> 31 (0) [10]
33,12,34,26 -> 14 (10000) [10]
12,33,18 -> 11 (10000) [10]
13,33,42,19 -> 14 (-1) [10]
33,11,38,18 -> 51 (10000) [10]
12,33,18,27 -> 14 (10000) [10]
23,33,32,35 -> 22 (10000) [10]
33,13,32,43 -> 11 (10000) [10]
23,33,32,29 -> 22 (10000) [10]
23,33,32,28 -> 22 (10000) [10]
33,13,32,14 -> 11 (10000) [10]
12,33,18,26 -> 14 (10000) [10]
33,11,38,34 -> 12 (10000) [10]
13,33,42,35 -> 14 (10000) [10]
12,33,18,31 -> 14 (10000) [10]
23,33,32,22 -> 54 (10000) [10]
12,33,18,17 -> 14 (10000) [10]
22,33,23,84 -> 52 (10000) [10]
12,33,18,32 -> 14 (10000) [10]
33,23,19,31 -> 21 (10000) [10]
12,33,18,22 -> 14 (10000) [10]
33,13,32,34 -> 11 (10000) [10]
12,33,18,24 -> 14 (10000) [10]
12,33,18,34 -> 14 (10000) [10]
13,33,42,34 -> 14 (-1) [10]
33,12,13 -> 23 (13) [10]
33,12,13,32 -> 15 (10000) [10]
33,12,13,34 -> 14 (10000) [10]
22,33,23,42 -> 51 (0) [10]
33,12,13,38 -> 15 (10000) [10]
33,23,19,13 -> 55 (10000) [10]
33,12,13,43 -> 15 (10000) [10]
33,12,13,37 -> 25 (10000) [10]
13,33,42,8 -> 14 (10000) [10]
13,33,42,32 -> 14 (10000) [10]
33,12,13,26 -> 15 (10000) [10]
12,33,27 -> 11 (10000) [10]
12,33,27,38 -> 14 (10000) [10]
12,33,27,43 -> 14 (10000) [10]
33,12,13,27 -> 15 (10000) [10]
12,33,27,23 -> 14 (10000) [10]
12,33,27,35 -> 34 (10000) [10]
33,12,13,31 -> 15 (10000) [10]
12,33,24,72 -> 22 (10000) [10]
12,33,27,17 -> 14 (10000) [10]
12,33,24,83 -> 42 (10000) [10]
12,33,27,18 -> 14 (10000) [10]
12,33,27,37 -> 14 (10000) [10]
33,23,19,32 -> 55 (10000) [10]
12,33,27,22 -> 14 (10000) [10]
13,33,42,23 -> 14 (10000) [10]
33,11,38,23 -> 51 (10000) [10]
12,33,24,81 -> 21 (10000) [10]
33,13,32,17 -> 51 (10000) [10]
23,33,43 -> 52 (10000) [10]
22,33,34 -> 25 (10000) [10]
23,33,43,29 -> 21 (10000) [10]
22,33,34,44 -> 24 (10000) [10]
22,33,34,31 -> 24 (10000) [10]
22,33,34,13 -> 24 (10000) [10]
22,33,34,37 -> 24 (10000) [10]
22,33,34,38 -> 24 (10000) [10]
22,33,34,42 -> 24 (10000) [10]
22,33,34,43 -> 24 (10000) [10]
22,33,34,24 -> 52 (10000) [10]
23,33,43,19 -> 21 (10000) [10]
23,33,43,42 -> 25 (10000) [10]
33,23,19,29 -> 35 (11) [10]
33,13,32,18 -> 14 (10000) [10]
33,22,27 -> 52 (11) [10]
23,33,43,32 -> 25 (10000) [10]
33,12,27 -> 25 (13) [10]
33,22,27,26 -> 11 (10000) [10]
23,33,43,31 -> 21 (10000) [10]
33,23,19,28 -> 41 (10000) [10]
33,12,27,38 -> 21 (10000) [10]
33,11,27 -> 51 (10000) [10]
33,13,32,22 -> 51 (10000) [10]
33,12,27,13 -> 15 (10000) [10]
22,33,34,73 -> 52 (10000) [10]
33,11,27,38 -> 42 (10000) [10]
23,33,43,22 -> 14 (10000) [10]
33,11,27,43 -> 42 (10000) [10]
33,11,27,23 -> 42 (10000) [10]
33,11,27,26 -> 42 (10000) [10]
33,11,27,31 -> 42 (10000) [10]
12,33,44,73 -> 22 (10000) [10]
22,33,34,72 -> 52 (10000) [10]
33,11,27,17 -> 42 (10000) [10]
33,11,27,18 -> 42 (10000) [10]
33,13,32,23 -> 14 (10000) [10]
12,33,44,72 -> 22 (10000) [10]
33,11,27,34 -> 42 (10000) [10]
13,33,22,28 -> 14 (0) [10]
33,12,27,43 -> 21 (10000) [10]
12,33,44,83 -> 21 (10000) [10]
33,23,19,44 -> 35 (11) [10]
33,12,43 -> 24 (10000) [10]
33,22,27,13 -> 21 (10000) [10]
12,33,44,81 -> 21 (10000) [10]
22,33,34,23 -> 52 (10000) [10]
13,33,22,19 -> 32 (-1) [10]
33,22,27,31 -> 11 (10000) [10]
22,33,34,53 -> 52 (10000) [10]
33,12,43,72 -> 51 (10000) [10]
33,12,43,83 -> 21 (10000) [10]
33,12,43,34 -> 21 (10000) [10]
33,23,19,20 -> 55 (10000) [10]
33,12,27,24 -> 52 (10000) [10]
33,12,43,23 -> 51 (10000) [10]
33,12,27,34 -> 14 (10000) [10]
33,12,43,62 -> 21 (10000) [10]
33,12,43,81 -> 21 (10000) [10]
33,12,43,32 -> 21 (10000) [10]
33,12,43,42 -> 21 (10000) [10]
33,13,32,19 -> 15 (10000) [10]
33,13,32,12 -> 15 (10000) [10]
33,12,27,18 -> 45 (10000) [10]
12,33,72 -> 11 (10000) [10]
12,33,72,83 -> 32 (10000) [10]
33,13,32,28 -> 15 (10000) [10]
33,11,34,62 -> 12 (10000) [10]
13,33,22,9 -> 41 (10000) [10]
33,22,27,34 -> 24 (10000) [10]
12,33,72,34 -> 32 (10000) [10]
12,33,72,73 -> 22 (10000) [10]
33,12,27,35 -> 14 (10000) [10]
33,13,32,8 -> 15 (10000) [10]
12,33,72,42 -> 21 (10000) [10]
23,33,22 -> 31 (0) [10]
33,11,34,72 -> 21 (10000) [10]
12,33,72,71 -> 42 (10000) [10]
12,33,72,81 -> 21 (10000) [10]
12,33,72,22 -> 42 (10000) [10]
33,11,34,13 -> 12 (10000) [10]
12,33,72,32 -> 21 (10000) [10]
23,33,22,19 -> 11 (0) [10]
23,33,22,35 -> 54 (10000) [10]
33,12,27,23 -> 45 (10000) [10]
33,22,27,35 -> 12 (10000) [10]
33,12,13,73 -> 53 (13) [10]
23,33,22,13 -> 12 (0) [10]
33,22,27,38 -> 41 (14) [10]
33,12,13,81 -> 53 (10000) [10]
33,11,34,81 -> 15 (10000) [10]
23,33,22,34 -> 11 (0) [10]
13,33,22,31 -> 34 (1) [10]
33,12,13,42 -> 53 (10000) [10]
23,33,22,32 -> 54 (10000) [10]
33,12,13,83 -> 51 (10000) [10]
33,13,18 -> 54 (12) [10]
22,33,24,27 -> 15 (0) [10]
23,33,22,28 -> 54 (10000) [10]
22,33,24,31 -> 52 (10000) [10]
33,13,18,32 -> 24 (10000) [10]
33,13,18,12 -> 32 (10000) [10]
33,13,18,14 -> 12 (10000) [10]
23,33,22,43 -> 54 (10000) [10]
23,33,22,20 -> 54 (10000) [10]
33,13,18,27 -> 24 (10000) [10]
22,33,24,32 -> 15 (0) [10]
33,12,38 -> 24 (10000) [10]
33,22,27,24 -> 53 (10000) [10]
33,12,38,27 -> 14 (10000) [10]
33,12,38,13 -> 14 (10000) [10]
13,33,32 -> 22 (-1) [10]
33,13,18,34 -> 11 (10000) [10]
33,12,38,31 -> 21 (10000) [10]
33,12,38,26 -> 21 (10000) [10]
13,33,32,24 -> 41 (0) [10]
33,12,38,32 -> 14 (10000) [10]
13,33,32,35 -> 34 (0) [10]
13,33,32,38 -> 12 (10000) [10]
33,22,27,43 -> 41 (14) [10]
22,33,24,38 -> 52 (10000) [10]
33,11,18 -> 34 (13) [10]
33,23,43 -> 15 (10000) [10]
13,33,32,43 -> 12 (10000) [10]
33,13,18,38 -> 22 (10000) [10]
33,12,38,18 -> 45 (10000) [10]
33,12,38,34 -> 21 (10000) [10]
33,23,43,20 -> 14 (10000) [10]
33,11,18,38 -> 31 (10000) [10]
13,33,32,44 -> 12 (-1) [10]
33,23,43,19 -> 14 (10000) [10]
22,33,24,26 -> 52 (10000) [10]
33,11,18,43 -> 31 (10000) [10]
33,12,23 -> 45 (13) [10]
13,33,32,18 -> 12 (0) [10]
33,12,38,23 -> 45 (10000) [10]
33,23,43,13 -> 12 (10000) [10]
33,13,18,43 -> 22 (10000) [10]
12,33,71 -> 42 (10000) [10]
13,33,32,48 -> 45 (10000) [10]
33,11,18,27 -> 51 (10000) [10]
33,23,43,31 -> 12 (10000) [10]
33,12,23,62 -> 52 (10000) [10]
13,33,32,23 -> 12 (0) [10]
33,23,43,32 -> 12 (10000) [10]
33,11,18,31 -> 51 (10000) [10]
12,33,71,83 -> 41 (10000) [10]
33,13,18,31 -> 11 (10000) [10]
33,12,23,13 -> 52 (10000) [10]
33,11,18,32 -> 51 (10000) [10]
12,33,71,34 -> 41 (10000) [10]
33,23,43,22 -> 14 (10000) [10]
12,33,71,23 -> 11 (10000) [10]
33,11,18,17 -> 31 (10000) [10]
12,33,71,72 -> 11 (10000) [10]
33,12,23,31 -> 32 (10000) [10]
33,22,34 -> 41 (11) [10]
33,22,34,62 -> 11 (10000) [10]
33,11,18,35 -> 25 (10000) [10]
12,33,71,81 -> 11 (10000) [10]
33,11,18,22 -> 31 (10000) [10]
13,33,19 -> 24 (-1) [10]
33,22,34,72 -> 13 (11) [10]
33,12,23,43 -> 51 (10000) [10]
13,33,19,22 -> 45 (0) [10]
13,33,19,31 -> 32 (0) [10]
12,33,71,32 -> 11 (10000) [10]
13,33,19,28 -> 14 (10000) [10]
13,33,19,43 -> 14 (10000) [10]
33,13,28 -> 45 (10000) [10]
33,12,23,53 -> 32 (10000) [10]
13,33,19,42 -> 14 (-1) [10]
33,13,28,19 -> 15 (10000) [10]
33,13,28,14 -> 15 (10000) [10]
33,22,34,31 -> 14 (10000) [10]
33,13,28,12 -> 15 (10000) [10]
33,22,34,13 -> 11 (10000) [10]
13,33,19,8 -> 14 (0) [10]
33,11,13 -> 32 (14) [10]
33,13,28,34 -> 15 (10000) [10]
12,33,71,43 -> 41 (10000) [10]
33,11,13,23 -> 21 (10000) [10]
33,11,13,83 -> 15 (10000) [10]
33,13,28,32 -> 15 (10000) [10]
33,12,23,81 -> 43 (10000) [10]
33,11,13,43 -> 12 (10000) [10]
